Player,Team,Role,p1,p2,p3,p4,p5,Credits
MS DHONI,CSK,WK,35,26,20,12,49,8.5
D KARTHIK,KKR,WK,8,15,26,39,15,8.5
T SEIFERT,KKR,WK,0,0,0,0,6,8
FAF DU PLESSIS,CSK,BAT,13,110,24,35,64,10
R GAIKWAD,CSK,BAT,101,17,27,152,61,9.5
N RANA,KKR,BAT,19,30,19,32,51,9
R TRIPATHI,KKR,BAT,26,11,38,20,57,9
S RAINA,CSK,BAT,0,0,0,7,6,9
E MORGAN,KKR,BAT,2,9,28,6,14,8.5
A RAYUDU,CSK,BAT,5,8,76,6,26,8.5
S GILL,KKR,BAT,57,41,76,87,20,8.5
R UTHAPPA,CSK,BAT,88,6,24,0,0,8
R JADEJA,CSK,AR,37,20,57,52,35,9.5
S NARINE,KKR,AR,4,170,4,10,32,9.5
V IYER,KKR,AR,85,40,53,20,113,9.5
D BRAVO,CSK,AR,27,11,29,0,68,9
M ALI,CSK,AR,51,2,41,28,31,9
S AL HASSAN,KKR,AR,12,16,51,45,0,8.5
S THAKUR,CSK,BOWL,0,91,68,54,29,9
L FERGUSON,KKR,BOWL,31,76,97,0,0,9
V CHAKRAVARTHY,KKR,BOWL,64,8,43,56,6,9
T SOUTHEE,KKR,BOWL,0,0,0,72,2,8.5
J HAZLEWOOD,CSK,BOWL,54,4,31,6,85,8.5
D CHAHAR,CSK,BOWL,4,25,33,0,12,8.5
S MAVI,KKR,BOWL,39,18,138,54,45,8
